ro	en	fr
Rotește piesa și trage-o în contur.	Rotate the piece, then drag it into the outline.	Tourne la pièce, puis glisse-la dans le contour.
Rotește cele două coturi ca să aprinzi steaua.	Rotate both connectors to light the star.	Tourne les deux raccords pour allumer l'étoile.
Becul se aprinde când circuitul este închis: bateria și becul sunt legate printr-un drum dus și întors.	The bulb lights when the circuit is complete: the battery and bulb are connected by a path out and back.	L'ampoule s'allume quand le circuit est fermé : la pile et l'ampoule sont reliées par un chemin aller et retour.
Rotește antena. Ce crezi că se află la capăt?	Rotate the antenna. What do you think is at the other end?	Tourne l'antenne. Qu'y a-t-il à l'autre bout, à ton avis ?
Schimbă ordinea pieselor 1, 2 și 3. Trimite ritmul.	Reorder pieces 1, 2 and 3. Send the rhythm.	Change l'ordre des pièces 1, 2 et 3. Envoie le rythme.
Trage un rezultat peste explicația pe care o susține.	Drag a result onto the explanation it supports.	Glisse un résultat sur l'explication qu'il soutient.
Schimbăm intrarea și urmărim dacă se schimbă răspunsul.	Change the input and see whether the response changes.	Changeons l'entrée et observons si la réponse change.
Tu îi dai libertatea	You choose its freedom	Tu fixes sa liberté
Schimbă regula. Vezi diferența.	Change the rule. See the difference.	Change la règle. Observe la différence.
Pornește o probă cu senzorii de acord, apoi una în care se contrazic.	Run a test with agreeing sensors, then one with conflicting sensors.	Lance un test avec des capteurs concordants, puis un avec des capteurs contradictoires.
Culoar liber	Clear corridor	Couloir dégagé
· indice simulat 0–100	· simulated index 0–100	· indice simulé 0–100
Un nor trece prin dreptul sondei	A cloud passes the probe	Un nuage passe devant la sonde
Mută instrumentul, apoi alege cât cercetezi.	Move the instrument, then choose how much to investigate.	Déplace l'instrument, puis choisis l'étendue de ton exploration.
Trage un document către următorul echipaj.	Drag a document to the next crew.	Glisse un document vers le prochain équipage.
Ai prins-o! Piesa ta intră în valiză.	You caught it! Your piece goes into the case.	Tu l'as attrapée ! Ta pièce rejoint la valise.
Nu se potrivește încă. Urmărește marginea formei, nu culoarea.	Not a match yet. Follow the shape's outline, not its colour.	Ce n'est pas encore la bonne pièce. Regarde son contour, pas sa couleur.
Acum încearcă piesa în contur.	Now try the piece in the outline.	Essaie maintenant la pièce dans le contour.
Se potrivește! Piesa ta rămâne în stea.	It fits! Your piece stays in the star.	Elle s'emboîte ! Ta pièce reste dans l'étoile.
Încă nu intră. Rotește-o și încearcă din nou.	It doesn't fit yet. Rotate it and try again.	Elle ne s'emboîte pas encore. Tourne-la et réessaie.
Circuitul este închis. Becul s-a aprins!	The circuit is complete. The bulb is on!	Le circuit est fermé. L'ampoule s'est allumée !
Circuitul este încă întrerupt. Rotește cotul ca să legi firele.	The circuit still has a gap. Rotate the connector to join the wires.	Le circuit est encore coupé. Tourne le raccord pour relier les fils.
Am păstrat presupunerea ta. Urmează să o încercăm.	Your hypothesis is saved. Next, we'll test it.	Ton hypothèse est enregistrée. Nous allons la tester.
A revenit ritmul tău. Schimbă ordinea și vezi dacă te urmărește.	Your rhythm came back. Change the order and see whether it follows you.	Ton rythme est revenu. Change l'ordre et vois s'il te suit.
Nu am primit un răspuns clar. Reglează antena și trimite din nou.	No clear response. Adjust the antenna and send again.	Pas de réponse claire. Règle l'antenne et renvoie le rythme.
Ai arătat ce ne lipsește. Mai multe teste ar putea lămuri răspunsul.	You've shown what's missing. More tests could clarify the answer.	Tu as montré ce qui manque. D'autres tests pourraient clarifier la réponse.
Tu stabilești ambele reguli. Pornește o probă când le-ai ales.	You set both rules. Run a test once you've chosen them.	Tu fixes les deux règles. Lance un test après les avoir choisies.
Pilotul așteaptă ambele reguli. Nu presupune permisiunea colegului.	The pilot waits for both rules. It does not assume your partner's permission.	Le pilote attend les deux règles. Il ne présume pas de l'accord de ton partenaire.
Instrument mutat. Privirea de probă nu consumă energie.	Instrument moved. The preview uses no energy.	Instrument déplacé. L'aperçu ne consomme pas d'énergie.
Ai cercetat zona {0} în detaliu. Celelalte rămân deschise.	You investigated area {0} in detail. The others remain unexplored.	Tu as exploré la zone {0} en détail. Les autres restent à découvrir.
Ai harta celor trei zone. Detaliile mici încă se ascund în medie.	You have a map of all three areas. Small details remain hidden in the averages.	Tu as la carte des trois zones. Les petits détails restent cachés dans les moyennes.
Obturatorul se închide. În grafic rămâne o întrerupere.	The shutter closes. A gap remains in the graph.	L'obturateur se ferme. Une interruption reste dans le graphique.
Obturatorul rămâne deschis. Urmărește citirile afectate de interferențe.	The shutter stays open. Watch the readings affected by interference.	L'obturateur reste ouvert. Observe les relevés perturbés par les interférences.
AVATAR LUMINĂ	LIGHT AVATAR	AVATAR DE LUMIÈRE
AVATAR NATURĂ	NATURE AVATAR	AVATAR DE LA NATURE
TEHNOLOGICA	CRYSTAL AVATAR	AVATAR DE CRISTAL
LUMEA LUMINII	WORLD OF LIGHT	MONDE DE LA LUMIÈRE
LUMEA NATURII	WORLD OF NATURE	MONDE DE LA NATURE
LUMEA CRISTALULUI	CRYSTAL WORLD	MONDE DU CRISTAL
SIMULARE	SIMULATION	SIMULATION
EST	EAST	EST
VEST	WEST	OUEST
LIN	SMOOTH	DOUX
RAPID	FAST	RAPIDE
CUTIA {0}	BOX {0}	BOÎTE {0}
NIVEL {0}	LEVEL {0}	NIVEAU {0}
SECVENȚĂ	SEQUENCE	SÉQUENCE
SECVENȚE	SEQUENCES	SÉQUENCES
URMEAZĂ	NEXT	À SUIVRE
MAI SUNT	REMAINING	TEMPS RESTANT
Scena {0}	Scene {0}	Scène {0}
Planeta Luminii (Siwarha)	World of Light (Siwarha)	Monde de la Lumière (Siwarha)
Planeta Naturii (Kepler-186 d)	World of Nature (Kepler-186 d)	Monde de la Nature (Kepler-186 d)
Planeta Tehnologiei (Mann · Gargantua)	Technology World (Mann · Gargantua)	Monde de la Technologie (Mann · Gargantua)
EXEMPLAR DE DEMONSTRAȚIE / REPETIȚIE	DEMONSTRATION / REHEARSAL COPY	EXEMPLAIRE DE DÉMONSTRATION / RÉPÉTITION
Intrare	Entrance	Entrée
Centru	Centre	Centre
centru	centre	centre
Nor	Cloud	Nuage
Raport	Report	Rapport
Ansamblu · 1 credit	Overview · 1 credit	Vue d'ensemble · 1 crédit
Detaliu · 2 credite	Detail · 2 credits	Détail · 2 crédits
credite	credits	crédits
credit	credit	crédit
Tunelul	The tunnel	Le tunnel
Baterie	Battery	Pile
Bec	Bulb	Ampoule
Semnal	Signal	Signal
Semnal: {0}%	Signal: {0}%	Signal : {0} %
Proba {0}	Test {0}	Essai {0}
Consum	Consumption	Consommation
Conectivitate	Connectivity	Connectivité
indice simulat 0–100	simulated index 0–100	indice simulé 0–100
Atelierul Mann	Mann's workshop	L'atelier Mann
privește	watching	regarde
privești	you're watching	tu regardes
încă alege	still choosing	choisit encore
Razele trimise de voi însoțesc steaua mai departe.	Your rays travel onward with the star.	Vos rayons poursuivent le voyage avec l'étoile.
persoană privește	person watching	personne regarde
persoane privesc	people watching	personnes regardent
Poți urmări proba fără să apeși.	You can watch the activity without tapping.	Tu peux regarder l'activité sans toucher.
Poți urmări proba în ritmul tău.	You can watch the activity at your own pace.	Tu peux regarder l'activité à ton rythme.
Un ritm regulat este un indiciu. Sursa rămâne necunoscută.	A regular rhythm is a clue. The source remains unknown.	Un rythme régulier est un indice. La source reste inconnue.
O probă înainte de misiune: cercetezi acum sau păstrezi energia?	A practice run: investigate now or save your energy?	Un essai avant la mission : explorer maintenant ou garder l'énergie ?
Caută steaua. Alege-o, apoi confirmă.	Find the star. Choose it, then confirm.	Cherche l'étoile. Choisis-la, puis confirme.
Fiecare apasă în jumătatea sa.	Each person taps on their own half.	Chacun touche sa moitié d'écran.
Suntem gata. Privește ecranul central.	We're ready. Watch the centre screen.	Nous sommes prêts. Regarde l'écran central.
Atinge fiecare cot ca să-l rotești. Unește capetele drumului.	Tap each connector to rotate it. Join the ends of the path.	Touche chaque raccord pour le tourner. Relie les extrémités du chemin.
Apasă câte o probă. Urmărește ce face nava în fiecare situație.	Tap one test at a time. Watch what the ship does in each situation.	Lance un test à la fois. Observe le vaisseau dans chaque situation.
Cercul se potrivește oricum l-ai roti. Conturul lui rămâne același.	The circle fits at any rotation. Its outline stays the same.	Le cercle s'emboîte dans tous les sens. Son contour reste identique.
Ai rotit piesa până s-a potrivit. Forma ei a rămas aceeași.	You rotated the piece until it fitted. Its shape stayed the same.	Tu as tourné la pièce pour l'emboîter. Sa forme est restée identique.
Ai închis circuitul. Curentul are un drum dus și întors prin bec.	You completed the circuit. Current has a path through the bulb and back to the battery.	Tu as fermé le circuit. Le courant peut traverser l'ampoule et revenir à la pile.
Bec aprins	Bulb on	Ampoule allumée
Înapoi la baterie	Back to the battery	Retour à la pile
Ai păstrat o ipoteză. Intensitatea semnalului nu ne spune cine îl trimite.	You saved a hypothesis. Signal strength does not identify the sender.	Tu as enregistré une hypothèse. L'intensité du signal n'identifie pas l'émetteur.
Urmează probele	Tests come next	Place aux tests
Ai legat o concluzie de o observație. Verifică dacă observația susține explicația.	You linked a conclusion to an observation. Check whether the observation supports the explanation.	Tu as relié une conclusion à une observation. Vérifie si l'observation soutient l'explication.
Observație	Observation	Observation
În această probă, decizia a rămas aceeași. O schimbare de regulă nu schimbă orice rezultat.	The decision stayed the same in this test. Changing a rule doesn't change every result.	Dans ce test, la décision reste identique. Changer une règle ne change pas tous les résultats.
Ai rulat ambele probe. Pilotul urmează regulile primite, chiar dacă senzorii pot greși.	You ran both tests. The pilot follows its rules, even when the sensors may be wrong.	Tu as lancé les deux tests. Le pilote suit ses règles, même si les capteurs peuvent se tromper.
Ai stabilit o regulă. Probele arată ce consecințe are.	You set a rule. The tests show its consequences.	Tu as fixé une règle. Les tests en montrent les conséquences.
Regulă	Rule	Règle
Senzori de acord	Agreeing sensors	Capteurs concordants
Senzori diferiți	Conflicting sensors	Capteurs contradictoires
Obturatorul a oprit înregistrarea prin nor. Pauza lasă date lipsă, nu măsurători curate.	The shutter stopped recording through the cloud. The pause leaves missing data, not clean readings.	L'obturateur a coupé l'enregistrement dans le nuage. Cela laisse des données manquantes, pas des mesures propres.
Ai transmis un document, împreună cu limitele lui.	You sent a document together with its limitations.	Tu as transmis un document avec ses limites.
{0} credite rămase	{0} credits remaining	{0} crédits restants
Înregistrare	Recording	Enregistrement
Echipajul următor	The next crew	Le prochain équipage
LOGURI	LOGS	JOURNAUX
Loguri	Logs	Journaux
DEPANARE	DEBUG	DIAGNOSTIC
Depanare	Debug	Diagnostic
ANALITICĂ	ANALYTICS	ANALYSE
Analitică	Analytics	Analyse
CLIPURI	CLIPS	CLIPS
Administrare	Administration	Administration
ADMINISTRARE	ADMINISTRATION	ADMINISTRATION
Prezentare	Overview	Vue d'ensemble
Utilizatori	Users	Utilisateurs
Sesiuni	Sessions	Sessions
Autentificare	Sign-in	Connexion
Conturi	Accounts	Comptes
CONTURI	ACCOUNTS	COMPTES
Ecrane	Displays	Écrans
Tablete	Tablets	Tablettes
Tabletă	Tablet	Tablette
ECRANE	DISPLAYS	ÉCRANS
TABLETE	TABLETS	TABLETTES
BIOSEMNALE	BIOSIGNALS	BIOSIGNAUX
GHID	GUIDE	GUIDE
IEȘI	SIGN OUT	DÉCONNEXION
Ieșire	Exit	Quitter
Intră	Sign in	Connexion
Conectat	Connected	Connecté
Conectat · {0} ({1})	Connected · {0} ({1})	Connecté · {0} ({1})
Activ: {0}	Active: {0}	Actif : {0}
5–10 ani	Ages 5–10	5–10 ans
10–15 ani	Ages 10–15	10–15 ans
15–18 ani	Ages 15–18	15–18 ans
Înainte de show	Before the show	Avant le spectacle
În show	During the show	Pendant le spectacle
Instrumente	Tools	Outils
Calibrare panoramă	Panorama calibration	Étalonnage du panorama
Arată playerul	Show the player	Afficher le lecteur
ARATĂ PLAYERUL	SHOW THE PLAYER	AFFICHER LE LECTEUR
{0} participanți	{0} participants	{0} participants
{0} ecran conectat	{0} display connected	{0} écran connecté
{0} ecrane conectate	{0} displays connected	{0} écrans connectés
{0} înregistrări păstrate	{0} records stored	{0} entrées conservées
toate active	all active	tous actifs
În așteptare	Waiting	En attente
Neîncărcat	Not loaded	Non chargé
Pregătit	Ready	Prêt
Pregătită	Ready	Prête
Pornit	On	Activé
Oprit	Off	Désactivé
Disponibil	Available	Disponible
Indisponibil	Unavailable	Indisponible
REÎNCARCĂ	RELOAD	RECHARGER
RESTAUREAZĂ	RESTORE	RESTAURER
DECONECTEAZĂ	DISCONNECT	DÉCONNECTER
O SINGURĂ NAVĂ · CINCI FERESTRE	ONE SHIP · FIVE WINDOWS	UN VAISSEAU · CINQ FENÊTRES
closed by operator	closed by operator	fermé par l'opérateur
{0}: `at` ({1}) este după finalul filmului ({2})	{0}: `at` ({1}) is after the end of the film ({2})	{0} : `at` ({1}) est après la fin du film ({2})
SHOW {0} · TIMPI ABSOLUȚI	SHOW {0} · ABSOLUTE TIMES	SPECTACLE {0} · TEMPS ABSOLUS
TIMPI ABSOLUȚI	ABSOLUTE TIMES	TEMPS ABSOLUS
MISIUNE · RECUPERARE · DISPLAY-URI	MISSION · RECOVERY · DISPLAYS	MISSION · RÉCUPÉRATION · ÉCRANS
stare	state	état
ecrane / tablete	displays / tablets	écrans / tablettes
rol	role	rôle
proces	process	processus
rezultat	result	résultat
voci	voices	voix
Tip	Type	Type
Nume	Name	Nom
De	Since	Depuis
DISPONIBIL	AVAILABLE	DISPONIBLE
RULARE	RUN	EXÉCUTER
TIMPI ALINIAȚI	ALIGNED TIMINGS	CHRONOLOGIE SYNCHRONISÉE
TIMPI PROVIZORII	PROVISIONAL TIMINGS	CHRONOLOGIE PROVISOIRE
SHOW {0} · {1}	SHOW {0} · {1}	SPECTACLE {0} · {1}
NEÎNCĂRCAT	NOT LOADED	NON CHARGÉ
ÎNCĂRCAT	LOADED	CHARGÉ
PREGĂTIREA CĂLĂTORIEI	PREPARING THE JOURNEY	PRÉPARER LE VOYAGE
Administrator	Administrator	Administrateur
READINESS: {0}	READINESS: {0}	PRÉPARATION : {0}
GATA	READY	PRÊT
NU E GATA	NOT READY	PAS PRÊT
NU	NO	NON
PROBLEME	ISSUES	PROBLÈMES
ecrane {0}	displays {0}	écrans {0}
tablete {0}	tablets {0}	tablettes {0}
video {0}	video {0}	vidéo {0}
active {0}	assets {0}	ressources {0}
neverificate	unchecked	non vérifiées
lipsesc: {0}	missing: {0}	manquants : {0}
Se așteaptă cel puțin un personaj confirmat pe tabletă.	Waiting for at least one confirmed character on a tablet.	En attente d'au moins un personnage confirmé sur une tablette.
Video neîncărcat pe ecranul de referință	Video not loaded on the reference display	Vidéo non chargée sur l'écran de référence
Preflight voci: asset-e lipsă sau corupte	Voice preflight: missing or corrupted assets	Vérification des voix : fichiers manquants ou corrompus
Rulare curentă	Current session	Session actuelle
{0} rulări citite	{0} sessions loaded	{0} sessions chargées
revizia {0}	revision {0}	révision {0}
Ieșiri native	Native display outputs	Sorties d'affichage natives
SĂNĂTATE SERVER	SERVER HEALTH	ÉTAT DU SERVEUR
PREFLIGHT ACTIVE	ASSET PREFLIGHT	VÉRIFICATION DES RESSOURCES
RULEAZĂ	RUN	EXÉCUTER
{0}/{1} valide · {2} cu viseme · {3}{4}	{0}/{1} valid · {2} with lip-sync data · {3}{4}	{0}/{1} valides · {2} avec synchronisation labiale · {3}{4}
{0}/{1} valide	{0}/{1} valid	{0}/{1} valides
{0} cu viseme	{0} with lip-sync data	{0} avec synchronisation labiale
PERFORMANȚĂ ECRANE	DISPLAY PERFORMANCE	PERFORMANCES DES ÉCRANS
Văzut	Last seen	Dernier contact
Cue-uri	Cues	Repères
Analitica rulărilor	Session analytics	Analyse des sessions
FIECARE CĂLĂTORIE CONTEAZĂ	EVERY JOURNEY MATTERS	CHAQUE VOYAGE COMPTE
Rulări, participare și alegerile echipajului, într-o privire.	Sessions, participation and crew choices at a glance.	Les sessions, la participation et les choix de l'équipage en un coup d'œil.
Rulări înregistrate	Recorded sessions	Sessions enregistrées
Răspunsuri tablete / rulare	Tablet responses per session	Réponses sur tablette par session
Rulări	Sessions	Sessions
Rulare	Session	Session
RULARE	SESSION	SESSION
RULĂRI	SESSIONS	SESSIONS
{0} rulări	{0} sessions	{0} sessions
{0} rulări · actualizat {1}	{0} sessions · updated {1}	{0} sessions · mise à jour à {1}
actualizat {0}	updated {0}	mise à jour à {0}
{0} misiuni pornite	{0} missions started	{0} missions lancées
{0} doar server	{0} server-only sessions	{0} sessions serveur uniquement
ultima {0}	latest {0}	dernière {0}
Rată de finalizare	Completion rate	Taux de réussite
Comenzi trimise (toate rulările)	Commands sent (all sessions)	Commandes envoyées (toutes les sessions)
Alegerile copiilor pe interacțiune	Children's choices by activity	Choix des enfants par activité
OPERATOR	OPERATOR	OPÉRATEUR
ECHIPAJ	CREW	ÉQUIPAGE
JURNAL	LOG	JOURNAL
STARE	STATE	ÉTAT
MOD	MODE	MODE
REZUMAT	SUMMARY	RÉSUMÉ
Stare	State	État
Mod	Mode	Mode
Rezumat	Summary	Résumé
Nicio rulare de afișat.	No sessions to display.	Aucune session à afficher.
Nicio misiune pornită încă.	No missions have started yet.	Aucune mission n'a encore commencé.
fără misiuni pornite	no missions started	aucune mission lancée
doar misiuni pornite	started missions only	missions lancées uniquement
Include verificările tehnice	Include technical checks	Inclure les vérifications techniques
VEDERE DIN SALĂ	VIEW FROM THE ROOM	VUE DEPUIS LA SALLE
Filmul întreg în centru. Univers continuu pe laterale.	The full film in the centre. A continuous universe on either side.	Le film entier au centre. Un univers continu sur les côtés.
O sursă comună, cinci decupaje. Fără duplicare.	One source, five crops. No duplication.	Une source, cinq découpes. Aucune duplication.
Cadru din film · secunde	Film frame · seconds	Image du film · secondes
Vezi cadrul	View frame	Afficher l'image
02 · POZIȚII FIZICE	02 · PHYSICAL POSITIONS	02 · POSITIONS PHYSIQUES
Măsoară. Aliniază.	Measure. Align.	Mesurer. Aligner.
Ecran	Display	Écran
Babord exterior	Outer port	Bâbord extérieur
Babord interior	Inner port	Bâbord intérieur
Tribord interior	Inner starboard	Tribord intérieur
Tribord exterior	Outer starboard	Tribord extérieur
CALIBRAREA IMAGINII SĂLII	ROOM IMAGE CALIBRATION	CALIBRAGE DE L'IMAGE DE LA SALLE
Acest atelier previzualizează și exportă configurația. Pentru aplicare, importă profilul pe PC și repornește playerul. Filmul și vocile rămân în configurația locală.	This workspace previews and exports the configuration. To apply it, import the profile on the PC and restart the player. The film and voices remain in the local configuration.	Cet espace permet de prévisualiser et d'exporter la configuration. Pour l'appliquer, importez le profil sur le PC et redémarrez le lecteur. Le film et les voix restent dans la configuration locale.
Nava Glass · Calibrare fizică · Previzualizarea nu confirmă conexiunile hardware.	Nava Glass · Physical calibration · The preview does not verify hardware connections.	Nava Glass · Calibrage physique · L'aperçu ne vérifie pas les connexions matérielles.
Acest explorator a luat parte la călătoria navei EXODUS7.	This explorer took part in the EXODUS7 voyage.	Cet explorateur a participé au voyage du vaisseau EXODUS7.
Acest echipaj a luat parte la călătoria navei EXODUS7.	This crew took part in the EXODUS7 voyage.	Cet équipage a participé au voyage du vaisseau EXODUS7.
{0} explorator · Personaje ale poveștii	{0} explorer · Story characters	{0} explorateur · Personnages de l'histoire
{0} exploratori · Personaje ale poveștii	{0} explorers · Story characters	{0} explorateurs · Personnages de l'histoire
Semilună	Crescent	Croissant
Acasă	Home	Retour
Pământ → Lumina → Natura → Cristal → Saturn → Acasă	Earth → Light → Nature → Crystal → Saturn → Home	Terre → Lumière → Nature → Cristal → Saturne → Retour
Pământ → Lumina → Natura → Cristal → Tunel → Saturn → Acasă	Earth → Light → Nature → Crystal → Tunnel → Saturn → Home	Terre → Lumière → Nature → Cristal → Tunnel → Saturne → Retour
Nivel	Level	Niveau
CONSOLĂ	CONSOLE	CONSOLE
STARE SHOW	SHOW STATE	ÉTAT DU SPECTACLE
CLIENȚI CONECTAȚI	CONNECTED CLIENTS	CLIENTS CONNECTÉS
Fără recuperare în așteptare	No recovery pending	Aucune récupération en attente
{1}/{2} valide · {3} cu viseme · {4}{5}	{1}/{2} valid · {3} with lip-sync data · {4}{5}	{1}/{2} valides · {3} avec synchronisation labiale · {4}{5}
PREGĂTIM CĂLĂTORIA	PREPARING THE JOURNEY	PRÉPARATION DU VOYAGE
Așteptăm cel puțin un personaj confirmat pe tabletă.	Waiting for at least one confirmed character on a tablet.	En attente d'au moins un personnage confirmé sur une tablette.
Confirmă cel puțin un personaj pe tabletă înainte de a omite tutorialul.	Confirm at least one character on a tablet before skipping the tutorial.	Confirmez au moins un personnage sur une tablette avant de passer le tutoriel.
CINCI FIȘIERE · UN SINGUR ZID	FIVE FILES · ONE VIDEO WALL	CINQ FICHIERS · UN SEUL MUR VIDÉO
Testarea clipurilor	Video clip testing	Test des vidéos
Zidul reconstituit	Reconstructed video wall	Mur vidéo reconstitué
Ce te uiți să vezi	What to look for	Points à vérifier
Derivă între fluxuri	Drift between video streams	Décalage entre les flux vidéo
Panou	Panel	Écran
Derivă	Drift	Décalage
Corecție	Correction	Correction
Bitrate	Bitrate	Débit
Viteză	Speed	Vitesse
▶ Redă	▶ Play	▶ Lire
❚❚ Pauză	❚❚ Pause	❚❚ Pause
Panourile sunt sincronizate	Panels are synchronized	Les écrans sont synchronisés
Prag de salt · ms	Seek threshold · ms	Seuil de repositionnement · ms
Prag de corecție fină · ms	Fine correction threshold · ms	Seuil de correction fine · ms
Resincronizează acum	Resynchronize now	Resynchroniser maintenant
Ce s-a încărcat	Loaded files	Fichiers chargés
Limba experienței	Experience language	Langue de l'expérience
ATINGE ACUM	TAP NOW	TOUCHE MAINTENANT
Ce crezi că ține o lume în viață?	What do you think keeps a world alive?	À ton avis, qu'est-ce qui maintient un monde en vie ?
AURIU · CERC	GOLD · CIRCLE	OR · CERCLE
ALBASTRU · UNDĂ	BLUE · WAVE	BLEU · ONDE
VERDE · FRUNZĂ	GREEN · LEAF	VERT · FEUILLE
VIOLET · STEA	PURPLE · STAR	VIOLET · ÉTOILE
CURIOZITATEA	CURIOSITY	LA CURIOSITÉ
GRIJA	CARE	L'ATTENTION AUX AUTRES
POVEȘTILE	STORIES	LES HISTOIRES
ALEGERILE	CHOICES	LES CHOIX
ALTCEVA	SOMETHING ELSE	AUTRE CHOSE
Iată ce ați ales: {{items}}.	Here is what you chose: {{items}}.	Voici vos choix : {{items}}.
Am primit mesajele voastre: {{items}}.	We received your messages: {{items}}.	Nous avons reçu vos messages : {{items}}.
Nu am primit încă niciun mesaj de la echipaj.	We haven't received a message from the crew yet.	Nous n'avons pas encore reçu de message de l'équipage.
{0} a privit	{0} watched	{0} a observé
{0} a ales {1}	{0} chose {1}	{0} a choisi {1}
Un post	A station	Un poste
Întrebare bună, echipaj. Țineți posturile și priviți semnalul: răspunsul vine odată cu drumul.	Good question, crew. Stay at your stations and watch the signal: the journey will reveal the answer.	Bonne question, équipage. Restez à vos postes et observez le signal : le voyage nous apportera la réponse.
Consemnat în jurnalul de bord. Rămâneți atenți — fiecare post vede o parte din adevăr.	Recorded in the ship's log. Stay alert: each station sees part of the truth.	C'est noté dans le journal de bord. Restez attentifs : chaque poste découvre une partie de la vérité.
Nu știu încă totul, dar știu asta: un echipaj care întreabă este un echipaj viu.	I don't know everything yet, but I know this: a crew that asks questions is a crew full of life.	Je ne sais pas encore tout, mais je sais ceci : un équipage qui pose des questions est un équipage plein de vie.
Vom afla împreună. Până atunci, respirați adânc și fiți gata la posturi.	We'll find out together. Until then, take a deep breath and stay ready at your stations.	Nous le découvrirons ensemble. En attendant, respirez profondément et restez prêts à vos postes.
Ascult. Fiecare întrebare a voastră devine un fragment din semnal.	I'm listening. Every question you ask becomes a piece of the signal.	Je vous écoute. Chacune de vos questions devient un fragment du signal.
Siwarha, Planeta Luminii. Acolo, emoțiile pe care alegeți să le arătați devin lumină.	Siwarha, the Planet of Light. There, the feelings you choose to share become light.	Siwarha, la Planète de la Lumière. Là-bas, les émotions que vous choisissez de partager deviennent lumière.
Pe Siwarha cuvintele ajung greu, dar culorile ajung într-o clipă. Alegeți-le cu grijă.	On Siwarha, words travel slowly, but colours arrive in an instant. Choose them carefully.	Sur Siwarha, les mots arrivent lentement, mais les couleurs en un instant. Choisissez-les avec soin.
Kepler-186 d, Planeta Naturii. Acolo nimic viu nu trăiește singur — totul e o singură rețea.	Kepler-186 d, the Planet of Nature. Nothing alive exists alone there: everything belongs to one network.	Kepler-186 d, la Planète de la Nature. Rien de vivant n'y existe seul : tout appartient à un même réseau.
Ritmurile voastre sunt diferite, și totuși împreună bat ca o singură inimă. Asta învățăm de la Natură.	Your rhythms are different, yet together they beat like one heart. That is what Nature teaches us.	Vos rythmes sont différents, mais ensemble ils battent comme un seul cœur. Voilà ce que la Nature nous apprend.
Mann, Planeta Tehnologiei. Modelele lor cer un singur răspuns; noi am învățat să nu eliminăm nimic.	Mann, the Planet of Technology. Their models demand a single answer; we have learned not to discard anything.	Mann, la Planète de la Technologie. Leurs modèles exigent une seule réponse ; nous avons appris à ne rien écarter.
Pe Mann știau că venim. Dar adevărul nu are o singură formă — și asta i-a surprins.	On Mann, they knew we were coming. But truth has more than one shape, and that surprised them.	Sur Mann, ils savaient que nous venions. Mais la vérité n'a pas une seule forme, et cela les a surpris.
A patra lume nu era ascunsă. Noi nu știam încă s-o vedem. Priviți bine Pământul când îl revedem.	The fourth world was never hidden. We had not yet learned how to see it. Look closely at Earth when we return.	Le quatrième monde n'était pas caché. Nous ne savions pas encore le voir. Regardez bien la Terre quand nous la retrouverons.
Semnalul ne conduce acasă, echipaj. Restul îl veți înțelege la timpul potrivit.	The signal is leading us home, crew. The rest will become clear when the time is right.	Le signal nous ramène à la maison, équipage. Vous comprendrez le reste au bon moment.
Sunt Căpitanul navei EXODUS-7. Comand acest echipaj și răspund pentru fiecare dintre voi.	I am the Captain of EXODUS-7. I command this crew and I am responsible for every one of you.	Je suis le Capitaine du vaisseau EXODUS-7. Je commande cet équipage et je suis responsable de chacun de vous.
Căpitanul, la datorie. Iar voi sunteți echipajul meu — cinci posturi, un singur echipaj.	Captain, reporting for duty. And you are my crew: five stations, one crew.	Le Capitaine, à son poste. Et vous êtes mon équipage : cinq postes, un seul équipage.
Semnalul e împărțit în cinci fragmente, câte unul pentru fiecare post. Îl reconstituim împreună.	The signal has five fragments, one for each station. We are putting it back together.	Le signal est divisé en cinq fragments, un pour chaque poste. Nous le reconstituons ensemble.
Nu știm încă de unde vine semnalul. Știm doar că poartă amprentele acestui echipaj.	We don't yet know where the signal comes from. We only know it carries this crew's fingerprints.	Nous ne savons pas encore d'où vient le signal. Nous savons seulement qu'il porte les empreintes de cet équipage.
Sunteți în siguranță la bord. Eu veghez, iar AGEIS-7 monitorizează fiecare sistem.	You are safe on board. I'm keeping watch, and AGEIS-7 is monitoring every system.	Vous êtes en sécurité à bord. Je veille sur vous, et AGEIS-7 surveille chaque système.
E firesc să simțiți emoție. Un căpitan bun o transformă în atenție. Respirați și priviți înainte.	It's natural to feel nervous. A good captain turns that feeling into focus. Breathe and look ahead.	C'est normal de ressentir de l'émotion. Un bon capitaine la transforme en attention. Respirez et regardez devant vous.
02 · SINCRONIZARE	02 · SYNCHRONIZATION	02 · SYNCHRONISATION
03 · FIȘIERE	03 · FILES	03 · FICHIERS
Cele cinci panouri redate simultan, în geometria reală a sălii.	The five panels play together using the room's physical geometry.	Les cinq écrans sont lus simultanément selon la géométrie réelle de la salle.
Verifică îmbinările, sincronizarea și încadrarea înainte de spectacol.	Check the seams, synchronization and framing before the show.	Vérifiez les raccords, la synchronisation et le cadrage avant le spectacle.
